
Analysis complete for Ssp-AAtu_015-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_015-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_025-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_031-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_022-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_024-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_024-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_031-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_029-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_029-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_034-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_034-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_026-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_030-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_030-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_027-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_026-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_033-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_033-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_035-Ex1-cssl.1.fq.gz
