
Analysis complete for Gmi-ABas_034-Ex1-b-cssl2.clmp.r2.fq.gz
Started analysis of Gmi-ABas_034-Ex1-b-cssl2.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_052-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_052-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_050-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_024-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_052-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_007-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_053-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_024-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_034-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_034-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_049-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_053-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_049-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_044-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_054-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 75% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 80% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 85% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 90% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Approx 95% complete for Gmi-AHam_044-Ex1-cssl.clmp.r2.fq.gz
Analysis complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Started analysis of Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 5% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 10% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 15% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 20% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 25% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 30% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 35% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 40% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 45% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 50% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 55% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 60% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 65% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 70% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 75% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 80% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 85% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 90% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Approx 95% complete for Gmi-AHam_051-Ex1-cssl.clmp.r1.fq.gz
Analysis complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Started analysis of Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 5% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 10% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 15% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 20% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 25% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 30% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 35% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 40% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 45% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 50% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 55% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 60% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 65% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
Approx 70% complete for Gmi-AHam_054-Ex1-cssl.clmp.r2.fq.gz
